"learner","n_iter","n_success","failure_rate","mean_raw_mse","sd_raw_mse","ci_lo_raw_mse","ci_hi_raw_mse","mean_norm_mse","sd_norm_mse","ci_lo_norm_mse","ci_hi_norm_mse","mean_rank_corr","sd_rank_corr","ci_lo_rank_corr","ci_hi_rank_corr","mean_rec_sg2","ci_lo_rec_sg2","ci_hi_rec_sg2","mean_rec_sg3","ci_lo_rec_sg3","ci_hi_rec_sg3","mean_dev_sg3","ci_lo_dev_sg3","ci_hi_dev_sg3","mean_topk_overlap","ci_lo_topk_overlap","ci_hi_topk_overlap","mean_topk_lift","ci_lo_topk_lift","ci_hi_topk_lift","subgroup_order_acc","ci_lo_order_acc","ci_hi_order_acc","sg3_inflation_rate","ci_lo_sg3_infl","ci_hi_sg3_infl"
"xkern",44,41,0.068,6.16468129268293,3.70197683392612,4.99619322387549,7.33316936149037,1.20417102439024,0.719924853249924,0.976934701960769,1.43140734681972,0.617810195121951,0.280268471632042,0.529346549924685,0.706273840319217,0.908751219512195,0.846006553307867,0.971495885716523,1.03611463414634,0.960640868589946,1.11158839970274,0.970590243902439,0.782524470775871,1.15865601702901,0.503048780487805,0.432752757338119,0.573344803637491,2.02679512195122,1.92777090836834,2.1258193355341,0.731707317073171,0.596083096222501,0.86733153792384,0.414634146341463,0.263831012112407,0.56543728057052
"xlasso",44,44,0,6.77198331818182,6.46225761406152,4.80727742839047,8.73668920797316,1.31784243181818,1.25834388644326,0.93527092310914,1.70041394052722,0.809974318181818,0.157630441855976,0.762050283576487,0.857898352787149,1.03902272727273,0.96179316179388,1.11625229275157,1.00519772727273,0.928167094467488,1.08222836007797,1.01145227272727,0.784053056491949,1.2388514889626,0.579545454545455,0.506655555798633,0.652435353292276,2.09974090909091,2.01949047422398,2.17999134395783,0.886363636363636,0.792587062368833,0.98014021035844,0.340909090909091,0.200846651789993,0.480971530028189
"rlasso",44,44,0,7.20576090909091,5.42402717645693,5.55670592298434,8.85481589519747,1.41253229545455,1.03430614949993,1.09807448440285,1.72699010650624,0.7414601875,0.181100472203021,0.67616650448882,0.80675387051118,0.849672727272727,0.775396797838817,0.923948656706638,0.980359090909091,0.901636046365827,1.05908213545235,1.02778409090909,0.807945820469734,1.24762236134845,0.383522727272727,0.2947184451418,0.472327009403655,1.764725,1.61177180899995,1.91767819100005,0.659090909090909,0.519028469971811,0.799153348210007,0.340909090909091,0.200846651789993,0.480971530028189
"slasso",44,44,0,7.55103856818182,8.63498877485686,4.92576202901568,10.176315107348,1.5059015,1.89047300478658,0.931145173524591,2.08065782647541,0.766486195121951,0.196109369395526,0.704586440315275,0.828385949928628,1.03054318181818,0.949592894518208,1.11149346911816,0.955109090909091,0.886134166497263,1.02408401532092,0.928838636363636,0.722224950949943,1.13545232177733,0.485795454545455,0.406664011993501,0.564926897097408,1.95776136363636,1.83871356556931,2.07680916170342,0.840909090909091,0.732833669238175,0.948984512580007,0.25,0.122052922872562,0.377947077127438
"rkern",44,44,0,8.76361411363636,14.7675949653908,4.27385487788207,13.2533733493907,1.69200170454545,2.75819441070576,0.853433958172788,2.53056945091812,0.723979454545455,0.275747224423355,0.640144635775721,0.807814273315189,0.882031818181818,0.824440719131396,0.93962291723224,0.962270454545455,0.889460222279972,1.03508068681094,0.903652272727273,0.685030605497398,1.12227393995715,0.505681818181818,0.424979102248182,0.586384534115455,1.97363409090909,1.83773759044408,2.1095305913741,0.840909090909091,0.732833669238175,0.948984512580007,0.25,0.122052922872562,0.377947077127438
"skern",44,44,0,8.70547093181818,5.86627482727142,6.92196037055613,10.4889814930802,1.69520177272727,1.14921537365248,1.34580836440186,2.04459518105268,0.670979818181818,0.185975704063889,0.614438036198792,0.727521600164844,0.908470454545455,0.848883717015072,0.968057192075838,0.945425,0.866014308387491,1.02483569161251,1.08725454545455,0.88625129611243,1.28825779479666,0.377840909090909,0.310509238541743,0.445172579640075,1.81855454545455,1.71273950345294,1.92436958745615,0.818181818181818,0.704216344348092,0.932147292015544,0.318181818181818,0.180555433399941,0.455808202963695
"ols_inter",44,44,0,9.03335493181818,6.60788036336824,7.02437567962977,11.0423341840066,1.76154647727273,1.28254419040276,1.37161740367483,2.15147555087063,0.808239227272727,0.120556830708613,0.771586600668613,0.844891853876842,1.12825454545455,1.05516917411862,1.20133991679047,0.960386363636364,0.870736881343535,1.05003584592919,1.15780454545455,0.905856929616175,1.40975216129292,0.559659090909091,0.482125837432232,0.63719234438595,2.09018863636364,2.00796084644898,2.17241642627829,0.909090909090909,0.824146060230847,0.994035757950971,0.295454545454545,0.160642226349728,0.430266864559363
"tlasso",44,44,0,9.52393447727273,9.237858074112,6.7153689184235,12.332500036122,1.84437520454545,1.65920810941732,1.33992983271928,2.34882057637163,0.754194159090909,0.177173941695323,0.700328357453891,0.808059960727928,1.10667272727273,1.03413771883268,1.17920773571277,0.950963636363636,0.861214426298677,1.0407128464286,1.16273863636364,0.899265245028012,1.42621202769926,0.502840909090909,0.419866929421349,0.585814888760469,2.010175,1.90520439297549,2.11514560702451,0.863636363636364,0.762234840123653,0.965037887149074,0.272727272727273,0.141131278734822,0.404323266719723
"rboost",44,44,0,9.87647709090909,8.97680564446483,7.14727872487435,12.6056754569438,1.94624147727273,1.85932375605517,1.38095538799616,2.51152756654929,0.39384395,0.416666484893143,0.198838032397661,0.588849867602339,0.73655,0.675522666280197,0.797577333719803,1.04359090909091,0.944846272097399,1.14233554608442,1.16883409090909,0.874421110772063,1.46324707104612,0.142045454545455,0.0809363455775994,0.20315456351331,1.26584090909091,1.12524816764445,1.40643365053737,0.340909090909091,0.200846651789993,0.480971530028189,0.363636363636364,0.221496444633979,0.505776282638748
"xboost",44,44,0,10.7622657045455,7.96212946746499,8.34155709243893,13.182974316652,2.12201640909091,1.5816183362777,1.64116048438664,2.60287233379518,0.201723545454545,0.621376683561195,0.012807766653767,0.390639324255324,0.883104545454545,0.783045173341645,0.983163917567446,1.13158181818182,1.01850488516615,1.24465875119748,1.28197045454545,0.866498325421887,1.69744258366902,0.28125,0.203441561084915,0.359058438915085,1.47080454545455,1.25909153108693,1.68251755982216,0.522727272727273,0.375139417344966,0.670315128109579,0.409090909090909,0.263812865352405,0.554368952829414
"zero_pred",44,44,0,15.4667339772727,1.37432954013695,15.0488996067973,15.8845683477481,3.03041581818182,0.245249060001543,2.95585328888828,3.10497834747535,NA,NA,NA,NA,0,0,0,0,0,0,4.95636136363636,4.72739419693935,5.18532853033338,0.0539772727272727,0.0302261061081369,0.0777284393464085,1.02976136363636,0.957625002160883,1.10189772511184,0,0,0,0,0,0
"tkern",44,41,0.068,16.4573416585366,17.5358035877069,10.9223590834417,21.9923242336315,3.30146563414634,3.78926622560419,2.10542563368591,4.49750563460677,0.500637634146341,0.320067967602723,0.399611717959127,0.601663550333555,0.875358536585366,0.797780208979564,0.952936864191168,0.984721951219512,0.896250035262283,1.07319386717674,1.16548292682927,0.920438180055077,1.41052767360346,0.26219512195122,0.188484769626126,0.335905474276313,1.48717073170732,1.31521549978875,1.65912596362588,0.560975609756098,0.409067675891044,0.712883543621151,0.341463414634146,0.196310357814481,0.486616471453812
"sboost",44,44,0,26.73280375,12.4091362014289,22.9600815160364,30.5055259839636,5.28785429545455,2.69734408972892,4.46778673758547,6.10792185332362,-0.318926681818182,0.318568083735152,-0.415780231737345,-0.222073131899019,0.525213636363636,0.43969125892479,0.610736013802483,0.723654545454545,0.617574100138426,0.829734990770665,1.88291363636364,1.53721057334512,2.22861669938216,0.0198863636363636,0.00361112127564598,0.0361616059970813,0.68725,0.587505752457238,0.786994247542762,0.0681818181818182,0,0.142660093696672,0.159090909090909,0.0510154874199928,0.267166330761825
"tboost",44,44,0,105.046571409091,77.7570543849457,81.4062661401536,128.686876678028,20.6101858863636,15.4662968618484,15.9080018583523,25.312369914375,-0.409354113636364,0.366240804871522,-0.520701495524589,-0.298006731748138,0.646356818181818,0.479044004415205,0.813669631948432,0.972056818181818,0.812116064557776,1.13199757180586,2.12155227272727,1.67304204105431,2.57006250440023,0.0340909090909091,0.00527202403610452,0.0629097941457137,0.561568181818182,0.435359011934985,0.687777351701379,0.113636363636364,0.0198597896415601,0.207412937631167,0.409090909090909,0.263812865352405,0.554368952829414
"const_pred",44,44,0,153.565709909091,70.3985875548424,132.162583035747,174.968836782435,30.6627485454545,15.7658910730922,25.8694795520129,35.4560175388962,NA,NA,NA,NA,2.04698409090909,1.9308812555599,2.16308692625828,3.12768409090909,2.88301023673662,3.37235794508157,10.1433545454545,9.28377397193149,11.0029351189776,0.0539772727272727,0.0302261061081369,0.0777284393464085,1.02976136363636,0.957625002160883,1.10189772511184,0,0,0,1,1,1
